timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1777068317.9847965,3.0,0.0,4.0,0.0,4.0,0.0
1777068321.9981766,3.0,0.0,4.0,0.0,4.0,0.0
1777068325.9842913,3.0,0.0,4.0,0.0,4.0,0.0
1777068329.9951131,3.0,0.0,4.0,0.0,4.0,0.0
1777068333.9988976,3.0,0.0,4.0,0.0,4.0,0.0
1777068338.0335462,3.0,0.0,4.0,0.0,4.0,0.0
1777068342.0322785,3.0,0.0,4.0,0.0,4.0,0.0
1777068346.074375,3.0,0.0,4.5,0.5,4.5,0.5
1777068350.0634298,3.0,0.0,5.0,0.0,5.0,0.0
1777068354.0812044,3.0,0.0,5.0,0.0,5.0,0.0
1777068358.0624888,3.5,0.5,5.0,0.0,5.0,0.0
1777068362.092669,4.0,0.0,5.0,0.0,5.0,0.0
1777068366.1094646,3.0,0.0,5.0,0.0,5.0,0.0
1777068370.1142979,3.0,0.0,4.5,0.5,4.5,0.5
1777068374.1275272,3.0,0.0,4.0,0.0,4.0,0.0
1777068378.118215,3.0,0.0,4.0,0.0,4.0,0.0
1777068382.1197333,3.0,0.0,4.0,0.0,4.0,0.0
1777068386.1620307,3.0,0.0,4.0,0.0,4.0,0.0
1777068390.177874,3.0,0.0,4.0,0.0,4.0,0.0
1777068394.1494594,2.5,0.5,4.0,0.0,4.0,0.0
1777068398.1638706,2.0,0.0,4.0,0.0,4.0,0.0
1777068402.1918921,2.0,0.0,4.0,0.0,4.0,0.0
1777068406.1872828,2.0,0.0,3.5,0.5,3.5,0.5
1777068410.203314,2.0,0.0,3.0,0.0,3.0,0.0
1777068414.2193806,1.0,0.0,3.0,0.0,4.0,0.0
1777068418.2077303,1.5,0.5,3.0,0.0,4.0,0.0
1777068422.237913,2.0,0.0,3.0,0.0,4.0,0.0
1777068426.2693977,2.0,0.0,3.0,0.0,4.0,0.0
1777068430.2628527,2.0,0.0,3.0,0.0,4.0,0.0
1777068434.2680972,2.0,0.0,3.0,0.0,4.0,0.0
1777068438.262867,2.0,0.0,3.0,0.0,5.0,0.0
1777068442.257658,1.5,0.5,3.0,0.0,4.5,0.5
1777068446.261869,1.0,0.0,3.0,0.0,4.0,0.0
1777068450.296078,1.0,0.0,3.0,0.0,4.0,0.0
1777068454.3147821,1.5,0.5,3.0,0.0,4.0,0.0
1777068458.3273792,1.0,0.0,3.0,0.0,6.0,0.0
1777068462.345815,1.0,0.0,3.5,0.5,6.5,0.5
1777068466.3241541,1.0,0.0,4.0,0.0,7.0,0.0
1777068470.361569,2.0,0.0,4.0,0.0,7.0,0.0
1777068474.372507,2.0,0.0,4.0,0.0,6.5,0.5
1777068478.3655875,2.0,0.0,4.0,0.0,6.0,0.0
1777068482.354084,2.0,0.0,4.0,0.0,7.0,0.0
1777068486.3926,2.0,0.0,4.0,0.0,7.0,0.0
1777068490.3763692,2.0,0.0,4.0,0.0,7.0,0.0
1777068494.4030523,2.0,0.0,4.0,0.0,6.0,0.0
1777068498.4057438,2.0,0.0,3.5,0.5,6.0,0.0
1777068502.4305212,2.0,0.0,3.0,0.0,6.0,0.0
1777068506.4242995,2.0,0.0,4.0,0.0,6.0,0.0
1777068510.4225814,2.0,0.0,4.5,0.5,6.5,0.5
1777068514.448374,2.0,0.0,5.0,0.0,7.0,0.0
1777068518.450781,2.0,0.0,4.0,0.0,5.0,0.0
1777068522.4895153,2.0,0.0,4.0,0.0,4.5,0.5
1777068526.4968317,2.0,0.0,4.0,0.0,4.0,0.0
1777068530.4851756,2.0,0.0,4.0,0.0,4.0,0.0
1777068534.5161371,2.0,0.0,4.0,0.0,4.0,0.0
1777068538.5078237,2.0,0.0,4.0,0.0,4.0,0.0
1777068542.5024016,2.0,0.0,4.0,0.0,4.0,0.0
1777068546.5323265,2.0,0.0,4.0,0.0,4.0,0.0
1777068550.542954,2.0,0.0,4.0,0.0,4.0,0.0
1777068554.5475185,2.0,0.0,4.0,0.0,4.0,0.0
1777068558.5876667,2.0,0.0,4.0,0.0,4.0,0.0
1777068562.5624602,2.0,0.0,4.0,0.0,4.0,0.0
1777068566.579395,3.0,0.0,4.0,0.0,4.0,0.0
1777068570.6267457,2.5,0.5,3.5,0.5,3.5,0.5
1777068574.6462605,2.0,0.0,3.0,0.0,3.0,0.0
1777068578.6367443,2.0,0.0,3.0,0.0,3.0,0.0
1777068582.6221998,2.0,0.0,3.5,0.5,3.5,0.5
1777068586.6275184,2.0,0.0,4.0,0.0,4.0,0.0
1777068590.6475997,2.0,0.0,4.0,0.0,5.0,0.0
1777068594.6445081,2.0,0.0,4.0,0.0,5.0,0.0
1777068598.6986184,2.0,0.0,4.0,0.0,5.0,0.0
1777068602.6981676,2.0,0.0,4.0,0.0,4.0,0.0
1777068606.7096658,2.0,0.0,4.0,0.0,4.5,0.5
1777068610.714241,2.0,0.0,4.0,0.0,5.0,0.0
1777068614.7480168,2.0,0.0,4.0,0.0,4.0,0.0
1777068618.7277079,2.0,0.0,4.0,0.0,4.5,0.5
1777068622.7220907,2.0,0.0,4.0,0.0,5.0,0.0
1777068626.7762237,2.0,0.0,4.0,0.0,4.0,0.0
1777068630.7661805,2.0,0.0,3.5,0.5,4.0,0.0
1777068634.7636266,2.0,0.0,3.0,0.0,4.0,0.0
1777068638.766975,2.0,0.0,3.0,0.0,4.0,0.0
1777068642.8020036,2.0,0.0,3.0,0.0,4.0,0.0
1777068646.802333,2.0,0.0,3.0,0.0,4.0,0.0
1777068650.8143163,2.0,0.0,3.0,0.0,3.0,0.0
1777068654.809318,2.0,0.0,3.0,0.0,3.0,0.0
1777068658.8344045,2.0,0.0,3.0,0.0,3.0,0.0
1777068662.8670826,2.0,0.0,3.0,0.0,3.0,0.0
