timestamp,latitude,longitude,accuracy
1777068517.4465168,37.8751476,-122.256146,100.0
1777068540.5163388,37.87598056374323,-122.25901243936423,7.96200014759407
1777068540.5192428,37.87598056374323,-122.25901243936423,7.96200014759407
1777068540.5221655,37.87598056374335,-122.25901243936431,22.995013999999998
1777068540.5441675,37.875986464682455,-122.2590300435002,16.26781222356452
1777068542.5676608,37.875986464682455,-122.2590300435002,16.26781222356452
1777068542.571592,37.875986464682455,-122.2590300435002,16.26781222356452
1777068542.5751705,37.875986464682455,-122.2590300435002,16.395014
1777068542.5991051,37.875981669493,-122.25897494093412,18.476679372442575
1777068544.2724516,37.8759730969228,-122.25901486892576,16.100443563700612
1777068547.5028224,37.8751476,-122.256146,100.0
1777068550.4575045,37.875975833174586,-122.25901528628366,15.54127835028953
1777068560.29651,37.87597236401632,-122.25899353592791,20.002866661994602
1777068577.5036027,37.8760492,-122.2586326,16.208999633789062
1777068583.1926732,37.8760445,-122.2586297,27.281999588012695
1777068583.7396207,37.8760438,-122.2586248,27.30900001525879
1777068584.1772873,37.8760435,-122.2586221,27.35099983215332
1777068584.8901985,37.8760435,-122.2586167,27.413999557495117
1777068585.2490659,37.8760435,-122.2586193,27.466999053955078
1777068585.344107,37.8760435,-122.2586152,27.52400016784668
1777068586.250763,37.8760451,-122.2586085,27.56399917602539
1777068586.8186014,37.8760469,-122.2586094,27.535999298095703
1777068587.4371874,37.876048,-122.2586098,27.549999237060547
1777068588.1155992,37.876052,-122.2586008,27.104000091552734
1777068588.2180715,37.8760538,-122.2585978,26.695999145507812
1777068589.0941935,37.8760848,-122.258535,25.726999282836914
1777068589.1663086,37.8760979,-122.2585175,24.895000457763672
1777068589.5935912,37.8761058,-122.2585066,23.885000228881836
1777068590.2401888,37.87611,-122.2584994,22.395999908447266
1777068590.3649726,37.8761674,-122.2583442,21.277000427246094
1777068590.8763158,37.8761947,-122.2582726,19.645999908447266
1777068591.0791998,37.8762103,-122.258232,18.38800048828125
1777068591.3273978,37.8762172,-122.2582234,16.47599983215332
1777068591.785899,37.8762201,-122.2582208,15.598999977111816
1777068592.068633,37.8762172,-122.2582204,13.809000015258789
1777068592.2239132,37.8762193,-122.2582227,13.116999626159668
1777068592.6336737,37.8762202,-122.2582234,11.444999694824219
1777068592.7418873,37.8762202,-122.2582298,10.972000122070312
1777068593.0930283,37.8762194,-122.2582326,9.717000007629395
1777068593.2520368,37.8762223,-122.2582354,8.456000328063965
1777068593.8743117,37.8762247,-122.2582372,8.201000213623047
1777068594.183763,37.8762241,-122.2582382,7.363999843597412
1777068594.666432,37.8762267,-122.2582402,5.945000171661377
1777068595.0881584,37.8762255,-122.2582422,5.139999866485596
1777068595.0944896,37.8762251,-122.2582428,5.0960001945495605
1777068595.6963332,37.8762281,-122.2582452,4.730000019073486
1777068596.1286402,37.8762269,-122.2582476,4.370999813079834
1777068596.2469964,37.876229,-122.2582507,4.355999946594238
1777068596.8714814,37.87623,-122.2582534,4.264999866485596
1777068597.0749722,37.876228,-122.2582557,4.27400016784668
1777068597.3376253,37.8762293,-122.2582592,4.2870001792907715
1777068597.995616,37.8762296,-122.2582635,4.296000003814697
1777068598.5525768,37.8762235,-122.2582811,4.3429999351501465
1777068599.0682638,37.8762168,-122.2582921,4.439000129699707
1777068599.7123444,37.8762154,-122.2583014,4.622000217437744
1777068600.0916834,37.876212,-122.2583079,4.769000053405762
1777068600.204314,37.8762137,-122.2583099,4.919000148773193
1777068600.4783504,37.8762146,-122.2583106,5.045000076293945
1777068600.7597094,37.8762092,-122.2583217,5.201000213623047
1777068601.0644093,37.8762069,-122.2583271,5.374000072479248
1777068601.3179634,37.8762074,-122.2583312,5.64300012588501
1777068601.8907979,37.8762067,-122.2583386,5.947000026702881
1777068602.06288,37.8762018,-122.2583504,6.1529998779296875
1777068602.44317,37.8762026,-122.2583526,6.644999980926514
1777068603.1797612,37.876202,-122.2583588,7.298999786376953
1777068603.8112414,37.8761964,-122.2583747,7.690999984741211
1777068604.0809011,37.8761883,-122.2583917,7.723999977111816
1777068604.2374802,37.8761877,-122.2583949,8.277000427246094
1777068604.9383507,37.8761858,-122.2584051,8.555999755859375
1777068605.0966492,37.8761835,-122.2584105,8.557999610900879
1777068605.5035748,37.8761846,-122.2584126,9.20199966430664
1777068606.075845,37.8761854,-122.2584175,9.50100040435791
1777068606.1341066,37.8761871,-122.2584153,9.911999702453613
1777068607.0612817,37.8761904,-122.2584183,10.364999771118164
1777068608.0678372,37.876193,-122.2584174,11.010000228881836
1777068609.0769606,37.8761764,-122.2584477,10.350000381469727
1777068610.2082303,37.8761775,-122.2584458,10.67199993133545
1777068611.0916092,37.876182,-122.2584394,11.322999954223633
1777068612.136807,37.8761892,-122.2584268,12.295999526977539
1777068613.0757031,37.8761951,-122.2584132,13.14799976348877
1777068613.7826092,37.8762049,-122.2583908,15.458000183105469
1777068614.091261,37.8762114,-122.2583758,16.131000518798828
1777068615.070736,37.8762011,-122.2583888,19.173999786376953
1777068615.7801907,37.8762022,-122.2583809,20.177000045776367
1777068616.0868175,37.8761391,-122.2584852,18.030000686645508
1777068616.5451186,37.8761316,-122.2584983,16.638999938964844
1777068617.072623,37.876129,-122.2585031,14.803999900817871
1777068617.884851,37.8761243,-122.2585073,13.491999626159668
1777068618.080112,37.8761201,-122.2585098,12.442999839782715
1777068619.1310694,37.8761172,-122.2585121,9.592000007629395
1777068619.8659685,37.8761088,-122.258514,7.218999862670898
1777068620.0870972,37.8761011,-122.2585154,6.835999965667725
1777068620.429414,37.8760946,-122.2585158,5.185999870300293
1777068621.0581925,37.8760904,-122.258516,3.114000082015991
1777068621.5208287,37.8760754,-122.2585167,3.1040000915527344
1777068622.0711489,37.8760618,-122.2585173,3.0959999561309814
1777068622.122551,37.876058,-122.2585177,3.053999900817871
1777068622.6326582,37.8760499,-122.258519,3.0490000247955322
1777068623.0791314,37.8760406,-122.2585206,3.053999900817871
1777068623.2035136,37.8760359,-122.2585214,3.0490000247955322
1777068623.5139997,37.8760327,-122.2585222,3.0460000038146973
1777068623.778878,37.8760238,-122.2585244,3.0429999828338623
1777068624.0749156,37.8760167,-122.2585259,3.0439999103546143
1777068624.3466547,37.8760099,-122.2585276,3.0409998893737793
