timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1777067733.655479,2.0,0.0,4.0,0.0,4.0,0.0
1777067737.6591084,2.0,0.0,4.0,0.0,4.0,0.0
1777067741.658331,2.0,0.0,4.0,0.0,4.0,0.0
1777067745.6564574,3.0,0.0,4.0,0.0,4.0,0.0
1777067749.6479187,2.5,0.5,4.0,0.0,4.0,0.0
1777067753.6677501,2.0,0.0,4.0,0.0,4.0,0.0
1777067757.707148,2.0,0.0,4.0,0.0,4.0,0.0
1777067761.7046673,2.0,0.0,4.0,0.0,4.0,0.0
1777067765.6990445,2.0,0.0,4.0,0.0,4.0,0.0
1777067769.7307703,3.0,0.0,4.0,0.0,4.0,0.0
1777067773.758937,3.0,0.0,4.0,0.0,4.0,0.0
1777067777.7509565,3.0,0.0,4.0,0.0,4.0,0.0
1777067781.7808123,3.0,0.0,4.0,0.0,4.0,0.0
1777067785.7790203,3.0,0.0,4.0,0.0,4.0,0.0
1777067789.804451,3.0,0.0,4.0,0.0,4.0,0.0
1777067793.811383,3.0,0.0,4.0,0.0,4.0,0.0
1777067797.806911,3.0,0.0,4.0,0.0,4.0,0.0
1777067801.8281238,3.0,0.0,4.0,0.0,4.0,0.0
1777067805.8297544,3.0,0.0,4.5,0.5,4.5,0.5
1777067809.8501995,3.0,0.0,5.0,0.0,5.0,0.0
1777067813.8498986,3.0,0.0,5.0,0.0,5.0,0.0
1777067817.8857467,3.0,0.0,4.5,0.5,4.5,0.5
1777067821.8767917,3.0,0.0,4.0,0.0,4.0,0.0
1777067825.8855722,2.0,0.0,5.0,0.0,5.0,0.0
1777067829.9099085,2.0,0.0,4.5,0.5,4.5,0.5
1777067833.9285338,2.0,0.0,4.0,0.0,4.0,0.0
1777067837.898311,3.0,0.0,5.0,0.0,5.0,0.0
1777067841.9313061,3.0,0.0,5.0,0.0,5.0,0.0
1777067845.9227352,3.0,0.0,5.0,0.0,5.0,0.0
1777067849.9544206,2.0,0.0,4.0,0.0,4.0,0.0
1777067853.9742744,2.0,0.0,4.0,0.0,4.0,0.0
1777067857.9989977,2.0,0.0,4.0,0.0,4.0,0.0
1777067861.9701426,3.0,0.0,4.0,0.0,4.0,0.0
1777067865.997254,2.5,0.5,3.5,0.5,3.5,0.5
1777067870.002939,2.0,0.0,3.0,0.0,3.0,0.0
1777067874.0427632,2.0,0.0,3.0,0.0,4.0,0.0
1777067878.022666,2.0,0.0,3.0,0.0,4.0,0.0
1777067882.0592952,2.0,0.0,3.0,0.0,4.0,0.0
1777067886.0597417,2.0,0.0,4.0,0.0,4.0,0.0
1777067890.0837529,2.0,0.0,4.0,0.0,4.5,0.5
1777067894.108079,2.0,0.0,4.0,0.0,5.0,0.0
1777067898.072571,2.0,0.0,4.0,0.0,5.0,0.0
1777067902.0767577,2.0,0.0,3.5,0.5,4.5,0.5
1777067906.0897372,2.0,0.0,3.0,0.0,4.0,0.0
1777067910.1245074,2.0,0.0,3.0,0.0,4.0,0.0
1777067914.155351,2.0,0.0,3.0,0.0,4.0,0.0
1777067918.1657615,2.0,0.0,3.0,0.0,4.0,0.0
1777067922.1819718,2.0,0.0,3.0,0.0,4.0,0.0
1777067926.155773,2.0,0.0,3.5,0.5,4.5,0.5
1777067930.1987913,2.0,0.0,4.0,0.0,5.0,0.0
1777067934.1709328,2.0,0.0,4.0,0.0,4.0,0.0
1777067938.1872602,2.0,0.0,4.0,0.0,4.0,0.0
1777067942.1991138,2.0,0.0,4.0,0.0,4.0,0.0
1777067946.2078283,3.0,0.0,4.0,0.0,4.0,0.0
1777067950.2132537,3.0,0.0,3.5,0.5,3.5,0.5
1777067954.261294,3.0,0.0,3.0,0.0,3.0,0.0
1777067958.2594674,2.0,0.0,3.0,0.0,3.0,0.0
1777067962.2598755,2.0,0.0,3.5,0.5,3.5,0.5
1777067966.2594283,2.0,0.0,4.0,0.0,4.0,0.0
1777067970.301673,3.0,0.0,4.0,0.0,4.0,0.0
1777067974.3009548,3.0,0.0,4.5,0.5,4.5,0.5
1777067978.3090656,3.0,0.0,5.0,0.0,5.0,0.0
1777067982.3285043,3.0,0.0,5.0,0.0,5.0,0.0
1777067986.3355064,3.0,0.0,5.0,0.0,5.0,0.0
1777067990.3561263,3.0,0.0,5.0,0.0,5.0,0.0
1777067994.3472168,3.0,0.0,5.0,0.0,5.0,0.0
1777067998.372666,3.0,0.0,5.0,0.0,5.0,0.0
1777068002.3765612,3.0,0.0,5.0,0.0,5.0,0.0
1777068006.401331,3.0,0.0,5.0,0.0,5.0,0.0
1777068010.4233959,3.0,0.0,5.5,0.5,5.5,0.5
1777068014.416619,3.0,0.0,6.0,0.0,6.0,0.0
1777068018.4308624,3.0,0.0,6.0,0.0,6.0,0.0
1777068022.4787016,3.0,0.0,5.5,0.5,5.5,0.5
1777068026.4501176,3.0,0.0,5.0,0.0,5.0,0.0
1777068030.467761,2.0,0.0,5.0,0.0,5.0,0.0
1777068034.496973,2.0,0.0,4.5,0.5,4.5,0.5
1777068038.5067363,2.0,0.0,4.0,0.0,4.0,0.0
1777068042.4956093,2.0,0.0,4.0,0.0,4.0,0.0
1777068046.5582528,2.0,0.0,4.0,0.0,4.0,0.0
1777068050.5637228,2.0,0.0,4.0,0.0,4.0,0.0
1777068054.535985,2.0,0.0,4.0,0.0,4.0,0.0
1777068058.5885046,2.0,0.0,4.5,0.5,4.5,0.5
1777068062.5704205,2.0,0.0,5.0,0.0,5.0,0.0
1777068066.5630984,3.0,0.0,5.0,0.0,5.0,0.0
1777068070.5947666,2.5,0.5,5.0,0.0,5.0,0.0
1777068074.6140075,2.0,0.0,5.0,0.0,5.0,0.0
1777068078.6241457,2.0,0.0,5.0,0.0,5.0,0.0
1777068082.6200156,2.0,0.0,4.5,0.5,5.0,0.0
1777068086.6177232,2.0,0.0,4.0,0.0,5.0,0.0
1777068090.6270213,3.0,0.0,4.0,0.0,5.0,0.0
1777068094.64941,3.0,0.0,4.0,0.0,5.0,0.0
1777068098.657789,3.0,0.0,4.0,0.0,5.0,0.0
1777068102.6995223,3.0,0.0,4.0,0.0,5.0,0.0
1777068106.7016993,2.5,0.5,4.0,0.0,5.0,0.0
1777068110.7044473,2.0,0.0,4.0,0.0,5.0,0.0
1777068114.7271068,3.0,0.0,4.0,0.0,5.0,0.0
1777068118.7342775,2.5,0.5,3.5,0.5,4.5,0.5
1777068122.7211862,2.0,0.0,3.0,0.0,4.0,0.0
1777068126.7687144,2.0,0.0,4.0,0.0,4.0,0.0
1777068130.732645,2.0,0.0,3.5,0.5,4.0,0.0
1777068134.7551045,2.0,0.0,3.0,0.0,4.0,0.0
1777068138.767808,2.0,0.0,3.0,0.0,4.0,0.0
1777068142.8017676,2.0,0.0,3.5,0.5,4.0,0.0
1777068146.825494,2.0,0.0,4.0,0.0,4.0,0.0
