timestamp,pm1_standard,pm25_standard,pm10_standard,Temperature,Gas,Humidity,Pressure,Altitude
2026-02-20 16:49:40,0,1,1,33.220625,2588348,100,612.4468983442713,4050.044322149252
2026-02-20 16:49:41,0,1,1,24.3503125,347469,30.746632236103693,1005.6213600799899,63.70812078491625
2026-02-20 16:49:42,0,1,1,24.3790234375,352619,30.743767489691123,1005.6036118417036,63.856795048537485
2026-02-20 16:49:43,0,1,1,24.4096875,357541,30.698364442033487,1005.5993117433877,63.89281663080492
2026-02-20 16:49:44,2,3,3,24.4348828125,360248,30.657837321128802,1005.5993581905585,63.892427545872536
2026-02-20 16:49:45,2,3,3,24.4540234375,364986,30.61146336215971,1005.5993784533275,63.89225780598237
2026-02-20 16:49:46,2,3,3,24.4653515625,367402,30.559098149264972,1005.5913322064084,63.959660909153435
2026-02-20 16:49:47,2,3,3,24.47375,370673,30.511830215998636,1005.593605167402,63.94062035745468
2026-02-20 16:49:48,2,3,3,24.4805859375,371915,30.45911353883134,1005.5881646479643,63.98619554507086
2026-02-20 16:49:49,2,3,3,24.48859375,373165,30.470457993082277,1005.5880851001924,63.98686191759672
2026-02-20 16:49:50,2,3,3,24.49171875,375268,30.508038993190688,1005.5865660749027,63.99958681671247
2026-02-20 16:49:51,2,3,3,24.4954296875,381954,30.51901991866806,1005.5894222170111,63.97566088152676
2026-02-20 16:49:52,2,3,3,24.4973828125,381094,30.49786230939648,1005.5910146262598,63.96232127488718
2026-02-20 16:49:53,2,3,3,24.497578125,383252,30.465897440204348,1005.5845650325801,64.0163496039728
2026-02-20 16:49:54,2,3,3,24.5126171875,384996,30.525825521300554,1005.5878447314819,63.988875489087334
2026-02-20 16:49:55,2,3,3,24.55265625,383252,30.924416284721488,1005.5857436491824,64.00647629660455
2026-02-20 16:49:56,2,3,3,24.5981640625,385874,31.56080871570411,1005.586058340196,64.00384012193079
2026-02-20 16:49:57,2,3,3,24.639765625,385215,32.29692194903619,1005.5831808833552,64.02794467637453
2026-02-20 16:49:58,2,3,3,24.6731640625,387864,33.04697530655084,1005.5800532635965,64.05414491747881
2026-02-20 16:49:59,2,2,2,24.6966015625,388309,33.62555950508636,1005.573721646219,64.10718542318588
2026-02-20 16:50:00,2,2,2,24.7192578125,390100,33.98773290536189,1005.5813290225934,64.04345780689489
2026-02-20 16:50:01,2,2,2,24.7368359375,392134,34.153343934083324,1005.566829308857,64.16492343603949
2026-02-20 16:50:02,6,7,7,24.76046875,393731,34.17744925632297,1005.574380579982,64.1016654655298
2026-02-20 16:50:03,7,8,8,24.7880078125,393273,34.24570053986964,1005.5749391011399,64.09698667714959
2026-02-20 16:50:04,7,8,8,24.8141796875,395341,34.341236929348604,1005.5799758340744,64.05479354964136
2026-02-20 16:50:05,7,8,8,24.833515625,396499,34.452632583494065,1005.5701190916325,64.1373644548534
2026-02-20 16:50:06,5,7,7,24.85734375,396499,34.41654021575569,1005.5678169432015,64.15664987410479
2026-02-20 16:50:07,5,7,7,24.883515625,398131,34.31495562167279,1005.5677591148175,64.15713431101862
2026-02-20 16:50:08,6,8,8,24.9063671875,400014,34.16934746767351,1005.5671999635814,64.1618184047069
2026-02-20 16:50:09,6,8,8,24.92375,401914,33.996031276744205,1005.5642222775402,64.1867629623769
2026-02-20 16:50:10,10,12,12,24.9469921875,402631,33.79070978025621,1005.5694031361268,64.14336211038375
2026-02-20 16:50:11,10,12,12,24.9596875,404557,33.58467232030392,1005.5721039046657,64.1207374272942
2026-02-20 16:50:12,6,8,8,24.955390625,405526,33.32836711359745,1005.569963701453,64.13866617898694
2026-02-20 16:50:13,5,8,8,24.9559765625,407479,33.04580637254915,1005.5692535091258,64.14461555632714
2026-02-20 16:50:15,5,7,7,24.9645703125,408463,32.780775215451165,1005.5701422639121,64.13717033761014
2026-02-20 16:50:16,5,7,7,24.969453125,409947,32.542930485220595,1005.5715720824435,64.12519256610085
2026-02-20 16:50:17,5,7,7,24.973359375,412697,32.34320179835203,1005.571359230085,64.12697565648143
2026-02-20 16:50:18,5,7,7,24.96359375,412949,32.15870463043914,1005.5752827934582,64.09410753279288
2026-02-20 16:50:19,5,7,7,24.9503125,414720,31.968742302800123,1005.5766838342371,64.08237088461638
2026-02-20 16:50:20,5,7,7,24.9196484375,417277,31.793638204526175,1005.5691927615325,64.14512444730735
2026-02-20 16:50:21,5,7,7,24.888203125,419345,31.59181579792127,1005.5519060964907,64.28993823871612
2026-02-20 16:50:22,5,7,7,24.863984375,419345,31.428511436144014,1005.536599887351,64.41816304430085
2026-02-20 16:50:23,5,7,7,24.8454296875,421434,31.281991820014238,1005.5155609380205,64.59441535079321
2026-02-20 16:50:24,5,7,7,24.8325390625,422750,31.162917565086175,1005.4938769185435,64.7760748115008
2026-02-20 16:50:25,5,7,7,24.8188671875,415484,31.06529788394466,1005.4691834612026,64.98294992125734
2026-02-20 16:50:26,5,7,7,24.82921875,410943,31.291296026403746,1005.4459059909958,65.17796604038907
2026-02-20 16:50:27,4,6,6,24.8180859375,414212,32.07012084916981,1005.411921215956,65.46269336228654
2026-02-20 16:50:28,4,6,6,24.807734375,414974,32.73937426959781,1005.3826418936313,65.7080042521606
2026-02-20 16:50:29,4,6,6,24.7848828125,417792,33.11152569211521,1005.3543771781001,65.94481995130856
2026-02-20 16:50:30,4,6,6,24.7645703125,415739,33.2454780476573,1005.3303828862175,66.1458601698622
2026-02-20 16:50:31,4,6,6,24.7372265625,419605,33.18861597037433,1005.3149037495515,66.27555678692707
