Time,Total_Counts
1775258604.4281218,28.0
1775258614.4351554,152.0
1775258624.4431393,170.0
1775258634.4510522,172.0
1775258644.4588807,167.0
1775258654.4634058,168.0
1775258664.471065,177.0
1775258674.4786541,173.0
1775258684.486167,171.0
1775258694.493593,187.0
1775258704.5009372,144.0
1775258714.5081944,176.0
1775258724.5154128,159.0
