Time,Total_Counts
1775257018.5440757,29.0
1775257028.5511587,133.0
1775257038.5591404,163.0
1775257048.5670495,146.0
1775257058.5674462,148.0
1775257068.575178,165.0
1775257078.5828273,167.0
1775257088.5903866,174.0
1775257098.5925343,175.0
1775257108.5999327,151.0
1775257118.6072426,143.0
1775257128.6144643,166.0
1775257138.6194687,182.0
