Time,Total_Counts
1775256325.4380252,44.0
1775256335.4450614,314.0
1775256345.4530404,332.0
1775256355.460935,342.0
1775256365.4687526,297.0
1775256375.476477,343.0
1775256385.4841232,322.0
1775256395.491652,306.0
1775256405.4954205,345.0
1775256415.502816,359.0
1775256425.5101218,329.0
1775256435.5173512,363.0
1775256445.5244806,310.0
