Time,Total_Counts
1775256536.321394,27.0
1775256546.3284671,198.0
1775256556.3364441,222.0
1775256566.3443415,220.0
1775256576.3514326,228.0
1775256586.3591714,238.0
1775256596.366837,214.0
1775256606.3744125,216.0
1775256616.3819134,196.0
1775256626.3893352,227.0
1775256636.3966696,214.0
1775256646.4039783,226.0
1775256656.405692,214.0
